nom-anglais;nom_français
Argentina;Argentine
Australia;Australie
Canada;Canada
England;Angleterre
Fiji;Fidji
France;France
Georgia;Géorgie
Ireland;Irlande
Italy;Italie
Japan;Japon
Namibia;Namibie
New Zealand;Nouvelle Zélande
Russia;Russie
Samoa;Samoa
Scotland;Ecosse
South Africa;Afrique Du Sud
Tonga;Tonga
United States of America;USA
Uruguay;Uruguay
Wales;Pays de Galles
