;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
229;australia;lost;7.0;23.0;-16.0;7.0;10.0;england;Melbourne;18/06/2016;85.93923977576226;89.1264048458026
230;russia;lost;21.0;46.0;-25.0;7.0;26.0;canada;Calgary;18/06/2016;58.52853788524134;65.88474468303428
231;canada;won;46.0;21.0;25.0;26.0;7.0;russia;Calgary;18/06/2016;66.28131366336534;58.13196890491028
232;scotland;won;26.0;13.0;13.0;16.0;10.0;japan;Aichi;18/06/2016;79.53937441131438;75.20786133645416
233;france;lost;19.0;30.0;-11.0;10.0;17.0;argentina;Tucuman;19/06/2016;77.37305191575607;82.14713731083269
234;argentina;won;30.0;19.0;11.0;17.0;10.0;france;Tucuman;19/06/2016;82.66972877132503;76.85046045526373
235;georgia;won;14.0;3.0;11.0;3.0;3.0;fiji;Suva;24/06/2016;74.04430256588446;76.31573670388043
236;ireland;lost;13.0;19.0;-6.0;10.0;13.0;south africa;Port Elizabeth;25/06/2016;81.17825572932085;86.01109602642303
237;argentina;lost;0.0;27.0;-27.0;0.0;10.0;france;Tucuman;25/06/2016;80.29683852391584;79.22335070267292
238;new zealand;won;46.0;6.0;40.0;18.0;6.0;wales;Dunedin;25/06/2016;95.13493469288275;83.44486915463712
239;russia;lost;0.0;25.0;-25.0;0.0;15.0;united states of america;Sacramento;25/06/2016;57.95610587219228;67.13541171950827
240;france;won;27.0;0.0;27.0;10.0;0.0;argentina;Tucuman;25/06/2016;80.88437387585935;78.6358153507294
241;samoa;won;30.0;10.0;20.0;23.0;3.0;tonga;Apia;25/06/2016;71.71035265855927;67.98534891790743
242;south africa;won;19.0;13.0;6.0;13.0;10.0;ireland;Port Elizabeth;25/06/2016;86.52781199671281;80.66153975903107
243;wales;lost;6.0;46.0;-40.0;6.0;18.0;new zealand;Dunedin;25/06/2016;83.44486915463712;95.13493469288275
244;australia;lost;40.0;44.0;-4.0;18.0;17.0;england;Sydney;25/06/2016;85.25795628276629;89.80768833879856
245;scotland;won;21.0;16.0;5.0;9.0;13.0;japan;Tokyo;25/06/2016;80.10622310382836;74.64101264394019
246;united states of america;won;25.0;0.0;25.0;15.0;0.0;russia;Sacramento;25/06/2016;67.25851584241087;57.83300174928968
247;japan;lost;16.0;21.0;-5.0;13.0;9.0;scotland;Tokyo;25/06/2016;74.187533689929;80.55970205783954
248;tonga;lost;10.0;30.0;-20.0;3.0;23.0;samoa;Apia;25/06/2016;67.04409947900521;72.65160209746149
249;canada;lost;18.0;20.0;-2.0;9.0;9.0;italy;Toronto;26/06/2016;65.75690653673824;71.56164952372148
250;italy;won;20.0;18.0;2.0;9.0;9.0;canada;Toronto;26/06/2016;71.98117522502316;65.33738083543656
251;new zealand;won;42.0;8.0;34.0;32.0;3.0;australia;Sydney;20/08/2016;95.15338793136529;85.23950304428375
252;australia;lost;8.0;42.0;-34.0;3.0;32.0;new zealand;Sydney;20/08/2016;85.22658577734597;95.16630519830306
253;argentina;lost;23.0;30.0;-7.0;13.0;10.0;south africa;Nelspruit;20/08/2016;78.42501501532774;86.73861233211447
254;south africa;won;30.0;23.0;7.0;10.0;13.0;argentina;Nelspruit;20/08/2016;86.9072526004358;78.25637474700642
255;argentina;won;26.0;24.0;2.0;13.0;3.0;south africa;Salta;27/08/2016;80.12146253234936;85.04216481509286
256;new zealand;won;29.0;9.0;20.0;15.0;9.0;australia;Wellington;27/08/2016;95.1753472851595;85.21754369048953
257;australia;lost;9.0;29.0;-20.0;9.0;15.0;new zealand;Wellington;27/08/2016;85.21121422969003;95.18167674595901
258;south africa;lost;24.0;26.0;-2.0;3.0;13.0;argentina;Salta;27/08/2016;83.55009458681852;81.61353276062371
259;south africa;lost;17.0;23.0;-6.0;14.0;13.0;australia;Brisbane;10/09/2016;82.71620655110567;86.04510226540287
260;australia;won;23.0;17.0;6.0;13.0;14.0;south africa;Brisbane;10/09/2016;86.71221269397316;82.04909612253539
261;argentina;lost;22.0;57.0;-35.0;19.0;24.0;new zealand;Hamilton;10/09/2016;81.61353276062371;95.18167674595901
262;new zealand;won;57.0;22.0;35.0;24.0;19.0;argentina;Hamilton;10/09/2016;95.18167674595901;81.61353276062371
263;new zealand;won;41.0;13.0;28.0;15.0;10.0;south africa;Christchurch;17/09/2016;95.18167674595901;82.04909612253539
264;argentina;lost;20.0;36.0;-16.0;6.0;21.0;australia;Perth;17/09/2016;80.87833475062612;87.44741070397075
265;south africa;lost;13.0;41.0;-28.0;10.0;15.0;new zealand;Christchurch;17/09/2016;82.04909612253539;95.18167674595901
266;australia;won;36.0;20.0;16.0;21.0;6.0;argentina;Perth;17/09/2016;87.96204931096905;80.36369614362782
267;new zealand;won;36.0;17.0;19.0;29.0;3.0;argentina;Buenos Aires;01/10/2016;95.18167674595901;80.36369614362782
268;australia;lost;10.0;18.0;-8.0;10.0;12.0;south africa;Pretoria;01/10/2016;86.37075399212569;83.64039144137875
269;argentina;lost;17.0;36.0;-19.0;3.0;29.0;new zealand;Buenos Aires;01/10/2016;80.36369614362782;95.18167674595901
270;south africa;won;18.0;10.0;8.0;12.0;10.0;australia;Pretoria;01/10/2016;84.91342769645345;85.097717737051
271;australia;won;33.0;21.0;12.0;18.0;8.0;argentina;Twickenham;08/10/2016;85.62431557770869;79.83709830297013
272;new zealand;won;57.0;15.0;42.0;12.0;9.0;south africa;Durban;08/10/2016;95.18167674595901;84.91342769645345
273;argentina;lost;21.0;33.0;-12.0;8.0;18.0;australia;Twickenham;08/10/2016;79.415820030444;86.04559385023484
274;south africa;lost;15.0;57.0;-42.0;9.0;12.0;new zealand;Durban;08/10/2016;84.91342769645345;95.18167674595901
275;australia;lost;10.0;37.0;-27.0;7.0;15.0;new zealand;Auckland;22/10/2016;85.91600628459346;95.31126431160038
276;new zealand;won;37.0;10.0;27.0;15.0;7.0;australia;Auckland;22/10/2016;95.40197560754935;85.8252949886445
277;wales;lost;8.0;32.0;-24.0;3.0;20.0;australia;Millennium Stadium;05/11/2016;82.30193302973822;86.9682311135434
278;argentina;won;54.0;20.0;34.0;21.0;6.0;japan;Tokyo;05/11/2016;80.13157707936675;73.47177664100624
279;australia;won;32.0;8.0;24.0;20.0;3.0;wales;Millennium Stadium;05/11/2016;87.76828640097261;81.501877742309
280;new zealand;lost;29.0;40.0;-11.0;8.0;25.0;ireland;Chicago;05/11/2016;93.40197560754935;82.66153975903107
281;ireland;won;40.0;29.0;11.0;25.0;8.0;new zealand;Chicago;05/11/2016;84.66153975903107;91.40197560754935
282;japan;lost;20.0;54.0;-34.0;6.0;21.0;argentina;Tokyo;05/11/2016;72.97074670676032;80.63260701361267
283;south africa;lost;21.0;37.0;-16.0;9.0;20.0;england;Twickenham;12/11/2016;84.14756679280522;90.57354924244679
284;wales;won;24.0;20.0;4.0;6.0;3.0;argentina;Millennium Stadium;12/11/2016;82.41495066943938;79.7195340864823
285;georgia;lost;22.0;28.0;-6.0;12.0;8.0;japan;Tbilisi;12/11/2016;72.93694697997205;74.07810229267274
286;canada;lost;21.0;52.0;-31.0;14.0;21.0;ireland;Lansdowne Road;12/11/2016;65.33738083543656;84.66153975903107
287;japan;won;28.0;22.0;6.0;8.0;12.0;georgia;Tbilisi;12/11/2016;74.96398676140267;72.05106251124212
288;scotland;lost;22.0;23.0;-1.0;17.0;10.0;australia;Murrayfield;12/11/2016;80.28056049215286;88.04742796665931
289;argentina;lost;20.0;24.0;-4.0;3.0;6.0;wales;Millennium Stadium;12/11/2016;78.989075744778;83.14540901114367
290;samoa;lost;8.0;52.0;-44.0;3.0;26.0;france;Toulouse;12/11/2016;72.38651786422118;81.14945810909967
291;ireland;won;52.0;21.0;31.0;21.0;14.0;canada;Lansdowne Road;12/11/2016;84.66153975903107;65.33738083543656
292;australia;won;23.0;22.0;1.0;10.0;17.0;scotland;Murrayfield;12/11/2016;88.27074121920867;80.0572472396035
293;italy;lost;10.0;68.0;-58.0;3.0;35.0;new zealand;Rome;12/11/2016;71.98117522502316;91.40197560754935
294;new zealand;won;68.0;10.0;58.0;35.0;3.0;italy;Rome;12/11/2016;91.40197560754935;71.98117522502316
295;france;won;52.0;8.0;44.0;26.0;3.0;samoa;Toulouse;12/11/2016;81.33501707236789;72.20095890095295
296;argentina;lost;16.0;19.0;-3.0;3.0;6.0;scotland;Murrayfield;19/11/2016;78.09589289426056;80.95043009012095
297;japan;lost;30.0;33.0;-3.0;13.0;14.0;wales;Millennium Stadium;19/11/2016;74.78212898637676;83.32726678616957
298;new zealand;won;21.0;9.0;12.0;14.0;6.0;ireland;Lansdowne Road;19/11/2016;91.72793202269752;84.3355833438829
299;south africa;lost;18.0;20.0;-2.0;12.0;10.0;italy;Firenze;19/11/2016;82.14756679280522;73.98117522502316
300;italy;won;20.0;18.0;2.0;10.0;12.0;south africa;Firenze;19/11/2016;75.79781438180137;80.33092763602701
301;wales;won;33.0;30.0;3.0;14.0;13.0;japan;Millennium Stadium;19/11/2016;83.47275300619029;74.63664276635605
302;ireland;lost;9.0;21.0;-12.0;6.0;14.0;new zealand;Lansdowne Road;19/11/2016;84.07481821176437;91.98869715481605
303;tonga;won;20.0;17.0;3.0;17.0;10.0;united states of america;San Sebastian;19/11/2016;68.06554111534578;66.2370742060703
304;united states of america;lost;17.0;20.0;-3.0;10.0;17.0;tonga;San Sebastian;19/11/2016;65.41992089699785;68.88269442441823
305;australia;won;25.0;23.0;2.0;13.0;11.0;france;Stade de France;19/11/2016;88.57716880452459;81.02858948705197
306;samoa;lost;16.0;20.0;-4.0;10.0;17.0;georgia;Tbilisi;19/11/2016;71.18596926198187;73.06605215021321
307;scotland;won;19.0;16.0;3.0;6.0;3.0;argentina;Murrayfield;19/11/2016;81.6649763705349;77.3813466138466
308;france;lost;23.0;25.0;-2.0;11.0;13.0;australia;Stade de France;19/11/2016;80.78344741879924;88.82231087277732
309;georgia;won;20.0;16.0;4.0;17.0;10.0;samoa;Tbilisi;19/11/2016;73.87804386139007;70.373977550805
310;canada;lost;23.0;25.0;-2.0;6.0;16.0;samoa;Grenoble;25/11/2016;64.8410405069734;70.87031787926816
311;samoa;won;25.0;23.0;2.0;16.0;6.0;canada;Grenoble;25/11/2016;71.26739014203868;64.44396824420288
312;france;lost;19.0;24.0;-5.0;6.0;10.0;new zealand;Stade de France;26/11/2016;80.78344741879924;91.98869715481605
313;new zealand;won;24.0;19.0;5.0;10.0;6.0;france;Stade de France;26/11/2016;91.98869715481605;80.78344741879924
314;south africa;lost;13.0;27.0;-14.0;6.0;12.0;wales;Millennium Stadium;26/11/2016;79.64511017304334;84.15857046917397
315;australia;lost;24.0;27.0;-3.0;7.0;17.0;ireland;Lansdowne Road;26/11/2016;87.34756160667602;85.54956747786566
316;ireland;won;27.0;24.0;3.0;17.0;7.0;australia;Lansdowne Road;26/11/2016;86.7293668907467;86.16776219379499
317;argentina;lost;14.0;27.0;-13.0;7.0;16.0;england;Twickenham;26/11/2016;77.3813466138466;90.57354924244679
318;japan;lost;25.0;38.0;-13.0;6.0;21.0;fiji;Vannes;26/11/2016;73.80455216010849;77.147827310128
319;wales;won;27.0;13.0;14.0;12.0;6.0;south africa;Millennium Stadium;26/11/2016;84.7072244395609;79.0964562026564
320;tonga;won;19.0;17.0;2.0;3.0;7.0;italy;Padova;26/11/2016;70.57420642015654;74.10630238606306
321;italy;lost;17.0;19.0;-2.0;7.0;3.0;tonga;Padova;26/11/2016;72.75309278947242;71.9274160167472
322;scotland;won;43.0;16.0;27.0;31.0;11.0;georgia;Kilmarnock;26/11/2016;81.99693649416318;73.54608373776179
323;georgia;lost;16.0;43.0;-27.0;11.0;31.0;scotland;Kilmarnock;26/11/2016;73.313711651222;82.22930858070298
324;australia;lost;21.0;37.0;-16.0;16.0;13.0;england;Twickenham;03/12/2016;85.32863025109276;91.41268118514901
325;ireland;lost;22.0;27.0;-5.0;8.0;21.0;scotland;Murrayfield;04/02/2017;85.27936105974233;83.67931441170735
326;france;lost;16.0;19.0;-3.0;9.0;9.0;england;Twickenham;04/02/2017;80.78344741879924;91.41268118514901
327;united states of america;won;29.0;23.0;6.0;16.0;13.0;uruguay;San Antonio;04/02/2017;66.28910533856754;63.242580871124964
328;scotland;won;27.0;22.0;5.0;21.0;8.0;ireland;Murrayfield;04/02/2017;84.83931907651085;84.11935639493883
329;italy;lost;7.0;33.0;-26.0;7.0;3.0;wales;Rome;05/02/2017;72.75309278947242;84.7072244395609
330;wales;won;33.0;7.0;26.0;3.0;7.0;italy;Rome;05/02/2017;84.7072244395609;72.75309278947242
331;ireland;won;63.0;10.0;53.0;28.0;10.0;italy;Rome;11/02/2017;84.11935639493883;72.75309278947242
332;italy;lost;10.0;63.0;-53.0;10.0;28.0;ireland;Rome;11/02/2017;72.75309278947242;84.11935639493883
333;wales;lost;16.0;21.0;-5.0;13.0;8.0;england;Millennium Stadium;11/02/2017;84.37777011411971;91.7421355105902
334;scotland;lost;16.0;22.0;-6.0;11.0;13.0;france;Stade de France;12/02/2017;83.43373191073968;82.18903458457041
335;france;won;22.0;16.0;6.0;13.0;11.0;scotland;Stade de France;12/02/2017;83.31350431718734;82.30926217812275
336;united states of america;won;51.0;34.0;17.0;25.0;15.0;canada;Vancouver;18/02/2017;67.51233477441284;63.22073880835758
337;canada;lost;34.0;51.0;-17.0;15.0;25.0;united states of america;Vancouver;18/02/2017;62.36447820326587;68.36859537950454
338;wales;lost;13.0;29.0;-16.0;13.0;9.0;scotland;Murrayfield;25/02/2017;82.56749392372016;84.1195383685223
339;ireland;won;19.0;9.0;10.0;7.0;6.0;france;Lansdowne Road;25/02/2017;85.03877118716369;82.39408952496248
340;france;lost;9.0;19.0;-10.0;6.0;7.0;ireland;Lansdowne Road;25/02/2017;81.65855769118261;85.77430302094356
341;canada;lost;13.0;17.0;-4.0;3.0;17.0;uruguay;Punte de l'Este;25/02/2017;61.452288470051776;64.15477060433905
342;scotland;won;29.0;13.0;16.0;9.0;13.0;wales;Murrayfield;25/02/2017;85.38673170180198;81.30030059044049
343;italy;lost;15.0;36.0;-21.0;10.0;5.0;england;Twickenham;26/02/2017;72.75309278947242;91.7421355105902
344;wales;won;22.0;9.0;13.0;8.0;6.0;ireland;Millennium Stadium;10/03/2017;82.7477008334908;84.32690277789325
345;ireland;lost;9.0;22.0;-13.0;6.0;8.0;wales;Millennium Stadium;10/03/2017;83.168982583453;83.90562102793105
346;scotland;lost;21.0;61.0;-40.0;7.0;30.0;england;Twickenham;11/03/2017;84.84004227312022;92.28882493927196
347;italy;lost;18.0;40.0;-22.0;11.0;16.0;france;Rome;11/03/2017;72.58891252472895;81.82273795592607
348;france;won;40.0;18.0;22.0;16.0;11.0;italy;Rome;11/03/2017;81.9376641412465;72.47398633940853
349;russia;lost;14.0;28.0;-14.0;0.0;14.0;georgia;Tbilisi;12/03/2017;57.83300174928968;73.313711651222
350;georgia;won;28.0;14.0;14.0;14.0;0.0;russia;Tbilisi;12/03/2017;73.313711651222;57.83300174928968
351;wales;lost;18.0;20.0;-2.0;9.0;10.0;france;Stade de France;18/03/2017;82.70882533926259;83.13445982991496
352;scotland;won;29.0;0.0;29.0;15.0;0.0;italy;Murrayfield;18/03/2017;84.84004227312022;72.47398633940853
353;france;won;20.0;18.0;2.0;10.0;9.0;wales;Stade de France;18/03/2017;84.09189638084972;81.75138878832783
354;italy;lost;0.0;29.0;-29.0;0.0;15.0;scotland;Murrayfield;18/03/2017;72.47398633940853;84.84004227312022
355;ireland;won;13.0;9.0;4.0;10.0;3.0;england;Lansdowne Road;18/03/2017;85.0809668190349;90.37684070369006
356;italy;lost;13.0;34.0;-21.0;3.0;15.0;scotland;Singpore;10/06/2017;72.47398633940853;84.84004227312022
357;united states of america;lost;19.0;55.0;-36.0;7.0;29.0;ireland;Harrison;10/06/2017;68.36859537950454;85.0809668190349
358;argentina;lost;34.0;38.0;-4.0;17.0;13.0;england;San Juan;10/06/2017;77.3813466138466;90.37684070369006
359;france;lost;14.0;37.0;-23.0;7.0;16.0;south africa;Pretoria;10/06/2017;81.84258035412071;81.3457722293854
360;canada;lost;0.0;13.0;-13.0;0.0;3.0;georgia;Calgary;10/06/2017;61.452288470051776;73.313711651222
361;south africa;won;37.0;14.0;23.0;16.0;7.0;france;Pretoria;10/06/2017;82.9202934480957;80.26805913541041
362;australia;won;37.0;14.0;23.0;18.0;0.0;fiji;Melbourne;10/06/2017;85.60150980994804;76.87494775127271
363;ireland;won;55.0;19.0;36.0;29.0;7.0;united states of america;Harrison;10/06/2017;85.0809668190349;68.36859537950454
364;georgia;won;13.0;0.0;13.0;3.0;0.0;canada;Calgary;10/06/2017;73.313711651222;61.452288470051776
365;scotland;won;34.0;13.0;21.0;15.0;3.0;italy;Singpore;10/06/2017;84.84004227312022;72.47398633940853
366;russia;lost;29.0;32.0;-3.0;24.0;8.0;uruguay;Montevideo;14/06/2017;57.46517863479462;64.52259371883412
367;samoa;lost;0.0;78.0;-78.0;0.0;28.0;new zealand;Auckland;16/06/2017;71.26739014203868;91.98869715481605
368;wales;won;24.0;6.0;18.0;8.0;3.0;tonga;Auckland;16/06/2017;81.77779287259074;71.9010119324843
369;tonga;lost;6.0;24.0;-18.0;3.0;8.0;wales;Auckland;16/06/2017;71.88252907350027;81.79627573157477
370;new zealand;won;78.0;0.0;78.0;28.0;0.0;samoa;Auckland;16/06/2017;91.98869715481605;71.26739014203868
371;united states of america;lost;17.0;21.0;-4.0;3.0;18.0;georgia;Atlanta;17/06/2017;67.86310700667629;73.81920002405025
372;south africa;won;37.0;15.0;22.0;23.0;7.0;france;Durban;17/06/2017;84.02245830119291;79.1658942823132
373;scotland;won;24.0;19.0;5.0;17.0;12.0;australia;Sydney;17/06/2017;85.916189026803;84.52536305626526
374;japan;lost;22.0;50.0;-28.0;3.0;31.0;ireland;Shizuoka;17/06/2017;73.80455216010849;85.0809668190349
375;georgia;won;21.0;17.0;4.0;18.0;3.0;united states of america;Atlanta;17/06/2017;74.22359072231285;67.45871630841368
376;italy;lost;19.0;22.0;-3.0;9.0;14.0;fiji;Suva;17/06/2017;71.91408248059494;77.4348516100863
377;australia;lost;19.0;24.0;-5.0;12.0;17.0;scotland;Sydney;17/06/2017;83.66444565331904;86.77710642974922
378;argentina;lost;25.0;35.0;-10.0;13.0;18.0;england;Santa Fe;17/06/2017;77.3813466138466;90.37684070369006
379;france;lost;15.0;37.0;-22.0;7.0;23.0;south africa;Durban;17/06/2017;78.39437888514516;84.79397369836096
380;ireland;won;50.0;22.0;28.0;31.0;3.0;japan;Shizuoka;17/06/2017;85.0809668190349;73.80455216010849
381;russia;won;31.0;10.0;21.0;19.0;5.0;namibia;Montevideo;18/06/2017;59.73558108803458;60.33079253648772
382;namibia;lost;10.0;31.0;-21.0;5.0;19.0;russia;Montevideo;18/06/2017;58.74151081921975;61.32486280530255
383;wales;won;19.0;17.0;2.0;9.0;10.0;samoa;Apia;23/06/2017;81.79627573157477;71.26739014203868
384;samoa;lost;17.0;19.0;-2.0;10.0;9.0;wales;Apia;23/06/2017;71.26739014203868;81.79627573157477
385;scotland;lost;22.0;27.0;-5.0;7.0;11.0;fiji;Suva;24/06/2017;84.84288094778293;79.36907709205259
386;south africa;won;35.0;12.0;23.0;16.0;9.0;france;Johannesburg;24/06/2017;85.33403447637859;77.85431810712753
387;georgia;lost;29.0;45.0;-16.0;8.0;26.0;argentina;San Salvador de Juruy;24/06/2017;73.19725410604292;78.40768323011653
388;japan;lost;13.0;35.0;-22.0;8.0;28.0;ireland;Tokyo;24/06/2017;73.80455216010849;85.0809668190349
389;canada;draw;28.0;28.0;0.0;15.0;21.0;united states of america;ONT;24/06/2017;60.85164568621558;68.05935909224988
390;ireland;won;35.0;13.0;22.0;28.0;8.0;japan;Tokyo;24/06/2017;85.0809668190349;73.80455216010849
391;australia;won;40.0;27.0;13.0;21.0;13.0;italy;Brisbane;24/06/2017;83.66444565331904;71.91408248059494
392;argentina;won;45.0;29.0;16.0;26.0;8.0;georgia;San Salvador de Juruy;24/06/2017;79.12611886150549;72.47881847465396
393;united states of america;draw;28.0;28.0;0.0;21.0;15.0;canada;ONT;24/06/2017;67.33858775164644;61.57241702681901
394;france;lost;12.0;35.0;-23.0;9.0;16.0;south africa;Johannesburg;24/06/2017;77.47627556251518;85.71207702099093
395;italy;lost;27.0;40.0;-13.0;13.0;21.0;australia;Brisbane;24/06/2017;71.91408248059494;83.66444565331904
396;samoa;lost;26.0;30.0;-4.0;16.0;20.0;tonga;Nuku A'lofa;01/07/2017;70.32890403518483;72.82101518035411
397;tonga;won;30.0;26.0;4.0;20.0;16.0;samoa;Nuku A'lofa;01/07/2017;73.57180406583718;69.57811514970176
398;united states of america;won;52.0;16.0;36.0;19.0;9.0;canada;San Diego;01/07/2017;67.97366214292232;60.937342635543125
399;canada;lost;16.0;52.0;-36.0;9.0;19.0;united states of america;San Diego;01/07/2017;60.492790561650004;68.41821421681544
400;tonga;lost;10.0;14.0;-4.0;3.0;3.0;fiji;Nuku A'lofa;08/07/2017;73.15153136845872;79.78934978943106
401;samoa;lost;16.0;38.0;-22.0;16.0;14.0;fiji;Apia;15/07/2017;69.57811514970176;79.78934978943106
402;australia;lost;34.0;54.0;-20.0;6.0;40.0;new zealand;Sydney;19/08/2017;83.41308337854359;92.2400594295915
403;argentina;lost;15.0;37.0;-22.0;5.0;13.0;south africa;Port Elizabeth;19/08/2017;78.6140125854283;86.22418329706812
404;south africa;won;37.0;15.0;22.0;13.0;5.0;argentina;Port Elizabeth;19/08/2017;86.58265769032215;78.25553819217427
405;new zealand;won;54.0;34.0;20.0;40.0;6.0;australia;Sydney;19/08/2017;92.4160130219343;83.23712978620078
406;new zealand;won;35.0;29.0;6.0;14.0;17.0;australia;Dunedin;26/08/2017;92.49812469836095;83.15501810977413
407;australia;lost;29.0;35.0;-6.0;17.0;14.0;new zealand;Dunedin;26/08/2017;83.08932876863281;92.56381403950228
408;argentina;lost;23.0;41.0;-18.0;10.0;17.0;south africa;Salta;26/08/2017;78.00460611689645;86.83358976559997
409;south africa;won;41.0;23.0;18.0;17.0;10.0;argentina;Salta;26/08/2017;87.00924221829445;77.82895366420198
410;south africa;draw;23.0;23.0;0.0;10.0;13.0;australia;Perth;09/09/2017;86.61725087332829;83.48132011359897
411;new zealand;won;39.0;22.0;17.0;15.0;16.0;argentina;New Plymouth;09/09/2017;92.56381403950228;77.82895366420198
412;australia;draw;23.0;23.0;0.0;13.0;10.0;south africa;Perth;09/09/2017;83.16772703762604;86.93084394930122
413;argentina;lost;22.0;39.0;-17.0;16.0;15.0;new zealand;New Plymouth;09/09/2017;77.82895366420198;92.56381403950228
414;new zealand;won;57.0;0.0;57.0;31.0;0.0;south africa;North Shore City;16/09/2017;93.21886852597211;86.27578946283138
415;argentina;lost;20.0;45.0;-25.0;13.0;10.0;australia;Canberra;16/09/2017;77.12976967021558;83.86691103161243
416;australia;won;45.0;20.0;25.0;10.0;13.0;argentina;Canberra;16/09/2017;84.3563398274029;76.6403408744251
417;south africa;lost;0.0;57.0;-57.0;0.0;31.0;new zealand;North Shore City;16/09/2017;85.8172513223025;93.677406666501
418;south africa;draw;27.0;27.0;0.0;10.0;13.0;australia;Bloemfontein;30/09/2017;85.67116017281253;84.50243097689287
419;new zealand;won;36.0;10.0;26.0;29.0;3.0;argentina;Buenos Aires;30/09/2017;93.677406666501;76.6403408744251
420;australia;draw;27.0;27.0;0.0;13.0;10.0;south africa;Bloemfontein;30/09/2017;84.3855580573009;85.7880330924045
421;argentina;lost;10.0;36.0;-26.0;3.0;29.0;new zealand;Buenos Aires;30/09/2017;76.6403408744251;93.677406666501
422;argentina;lost;20.0;37.0;-17.0;13.0;13.0;australia;Mendoza;07/10/2017;76.30212345185647;84.72377547986953
423;south africa;lost;24.0;25.0;-1.0;3.0;8.0;new zealand;Cape Town;07/10/2017;85.57697044981416;93.88846930909135
424;new zealand;won;25.0;24.0;1.0;8.0;3.0;south africa;Cape Town;07/10/2017;94.05731942316363;85.40812033574187
425;australia;won;37.0;20.0;17.0;13.0;13.0;argentina;Mendoza;07/10/2017;84.96052767566758;76.06537125605843
426;australia;won;23.0;18.0;5.0;12.0;13.0;new zealand;Brisbane;21/10/2017;86.87020685041719;92.14764024841404
427;new zealand;lost;18.0;23.0;-5.0;13.0;12.0;australia;Brisbane;21/10/2017;90.61989690861435;88.39795019021687
428;japan;lost;30.0;63.0;-33.0;3.0;35.0;australia;Yokohama;04/11/2017;73.80455216010849;88.39795019021687
429;australia;won;63.0;30.0;33.0;35.0;3.0;japan;Yokohama;04/11/2017;88.39795019021687;73.80455216010849
430;argentina;lost;8.0;21.0;-13.0;3.0;14.0;england;Twickenham;11/11/2017;76.06537125605843;90.37684070369006
431;ireland;won;38.0;3.0;35.0;14.0;0.0;south africa;Lansdowne Road;11/11/2017;86.63003984654094;83.85904730823583
432;samoa;lost;38.0;44.0;-6.0;10.0;25.0;scotland;Murrayfield;11/11/2017;69.57811514970176;84.84288094778293
433;italy;won;19.0;10.0;9.0;10.0;10.0;fiji;Catania;11/11/2017;73.70160921147856;78.00182305854744
434;canada;lost;22.0;54.0;-32.0;8.0;23.0;georgia;Tbilisi;11/11/2017;60.492790561650004;72.47881847465396
435;georgia;won;54.0;22.0;32.0;23.0;8.0;canada;Tbilisi;11/11/2017;72.47881847465396;60.492790561650004
436;france;lost;18.0;38.0;-20.0;5.0;31.0;new zealand;Stade de France;11/11/2017;77.47627556251518;90.61989690861435
437;wales;lost;21.0;29.0;-8.0;13.0;22.0;australia;Millennium Stadium;11/11/2017;81.45644317743898;88.73778274435267
438;south africa;lost;3.0;38.0;-35.0;0.0;14.0;ireland;Lansdowne Road;11/11/2017;82.7746961889816;87.71439096579518
439;scotland;won;44.0;38.0;6.0;25.0;10.0;samoa;Murrayfield;11/11/2017;84.84288094778293;69.57811514970176
440;new zealand;won;38.0;18.0;20.0;31.0;5.0;france;Stade de France;11/11/2017;90.61989690861435;77.47627556251518
441;australia;won;29.0;21.0;8.0;22.0;13.0;wales;Millennium Stadium;11/11/2017;89.0096487876613;81.18457713413035
442;ireland;won;23.0;20.0;3.0;17.0;10.0;fiji;Lansdowne Road;18/11/2017;87.7431341750704;77.97307984927221
443;south africa;won;18.0;17.0;1.0;8.0;7.0;france;Stade de France;18/11/2017;83.24485412633496;77.00611762516182
444;tonga;lost;6.0;39.0;-33.0;6.0;27.0;japan;Toulouse;18/11/2017;71.74948448720619;75.20659904136102
445;scotland;lost;17.0;22.0;-5.0;3.0;3.0;new zealand;Murrayfield;18/11/2017;84.42058254386608;91.0421953125312
446;new zealand;won;22.0;17.0;5.0;3.0;3.0;scotland;Murrayfield;18/11/2017;91.38003403566469;84.08274382073259
447;japan;won;39.0;6.0;33.0;27.0;6.0;tonga;Toulouse;18/11/2017;76.18803185823779;70.76805167032941
448;france;lost;17.0;18.0;-1.0;7.0;8.0;south africa;Stade de France;18/11/2017;76.62999127527914;83.62098047621764
449;namibia;lost;36.0;52.0;-16.0;17.0;31.0;uruguay;Windhoek;18/11/2017;58.10867325416191;65.15543128389196
450;georgia;lost;6.0;13.0;-7.0;3.0;10.0;wales;Millennium Stadium;18/11/2017;72.3493943406016;81.31400126818271
451;argentina;won;31.0;15.0;16.0;8.0;9.0;italy;Firenze;18/11/2017;77.21080694937145;72.55617351816554
452;wales;won;13.0;6.0;7.0;10.0;3.0;georgia;Millennium Stadium;18/11/2017;81.4175405754246;72.24585503335972
453;australia;lost;6.0;30.0;-24.0;0.0;6.0;england;Twickenham;18/11/2017;87.71472757506562;91.67176191628575
454;italy;lost;15.0;31.0;-16.0;9.0;8.0;argentina;Firenze;18/11/2017;71.75436853284643;78.01261193469055
